fetch_date,fetch_time,page_date,page_time,currency_name,currency_code,tt_buying,bills_buying,currency_notes_buying,forex_card_buying,demand_draft_buying,tt_selling,bills_selling,currency_notes_selling,forex_card_selling,demand_draft_selling
2026-09-10,14:34:22,10-09-2026,09:15:21 AM,United States Dollar,USD,93.7,93.7,93.37,93.18,null,96.64,96.64,97.21,97.12,96.97
2026-09-10,14:34:22,10-09-2026,09:15:21 AM,Euro,EUR,108.32,108.32,107.82,108.32,null,113.24,113.24,113.97,113.24,113.24
2026-09-10,14:34:22,10-09-2026,09:15:21 AM,Great Britain Pound,GBP,125.91,125.91,126.04,126.17,null,132.56,132.56,132.3,131.72,131.65
2026-09-10,14:34:22,10-09-2026,09:15:21 AM,Australian Dollar,AUD,67.14,67.14,66.35,67.0,null,71.2,71.2,71.2,70.54,70.55
2026-09-10,14:34:22,10-09-2026,09:15:21 AM,Canadian Dollar,CAD,67.2,67.2,66.58,67.23,null,70.93,70.93,71.44,70.79,70.79
2026-09-10,14:34:22,10-09-2026,09:15:21 AM,Singapore Dollar,SGD,74.05,74.05,73.11,73.71,null,76.76,76.76,77.66,77.06,77.17
2026-09-10,14:34:22,10-09-2026,09:15:21 AM,Japanese Yen,JPY,60.42,60.42,59.3,60.42,,63.99,63.99,64.92,63.09,
2026-09-10,14:34:22,10-09-2026,09:15:21 AM,U.A.E Dirham,AED,25.13,25.13,25.03,24.92,,26.76,26.76,26.86,26.95,
2026-09-10,14:34:22,10-09-2026,09:15:21 AM,Swiss Franc,CHF,114.98,114.98,114.81,114.93,,120.65,120.65,120.77,120.3,
2026-09-10,14:34:22,10-09-2026,09:15:21 AM,Saudi Riyal,SAR,24.62,24.62,24.45,24.53,,26.17,26.17,26.32,26.25,
2026-09-10,14:34:22,10-09-2026,09:15:21 AM,Qatari Riyal,QAR,25.35,25.35,23.04,,,27.13,27.13,28.17,,
2026-09-10,14:34:22,10-09-2026,09:15:21 AM,Swedish Kronor,SEK,9.59,9.59,,9.59,,10.34,10.34,,10.29,
2026-09-10,14:34:22,10-09-2026,09:15:21 AM,Danish Kroner,DKK,14.3,14.3,,,,15.33,15.33,,,
2026-09-10,14:34:22,10-09-2026,09:15:21 AM,Norwegian Kroner,NOK,9.97,9.97,,,,10.78,10.78,,,
2026-09-10,14:34:22,10-09-2026,09:15:21 AM,New Zealand Dollar,NZD,54.42,54.42,,53.78,,57.43,57.43,,57.77,
2026-09-10,14:34:22,10-09-2026,09:15:21 AM,Hong Kong Dollar,HKD,11.8,11.8,11.42,11.76,,12.51,12.51,12.88,12.54,
2026-09-10,14:34:22,10-09-2026,09:15:21 AM,Kuwaiti Dinar,KWD,296.66,296.66,282.68,,,323.28,323.28,329.19,,
2026-09-10,14:34:22,10-09-2026,09:15:21 AM,Thai Baht,THB,2.8,2.8,2.71,2.8,,2.99,2.99,3.09,2.99,
2026-09-10,14:34:22,10-09-2026,09:15:21 AM,South African Rand,ZAR,5.67,5.67,,5.67,,6.17,6.17,,6.2,
2026-09-10,14:34:22,10-09-2026,09:15:21 AM,Omani Riyal,OMR,240.41,240.41,,,,255.11,255.11,,,
2026-09-10,14:34:22,10-09-2026,09:15:21 AM,Korean Won,KRW,0.068,0.068,,,,0.0744,0.0744,,,
2026-09-10,14:34:22,10-09-2026,09:15:21 AM,Chinese Yuan,CNH,13.57,13.57,,,,14.85,14.85,,,
2026-09-10,14:34:22,10-09-2026,09:15:21 AM,Poland Zloty,PLN,24.72,24.72,,,,26.56,26.56,,,
2026-09-10,14:34:22,10-09-2026,09:15:21 AM,Bahraini Dinar,BHD,244.75,244.75,,,,260.71,260.71,,,
2026-09-10,14:34:22,10-09-2026,09:15:21 AM,Malaysian Ringgit,MYR,22.36,22.36,,,,24.51,24.51,,,
