fetch_date,fetch_time,page_date,page_time,currency_name,currency_code,tt_buying,bills_buying,currency_notes_buying,forex_card_buying,demand_draft_buying,tt_selling,bills_selling,currency_notes_selling,forex_card_selling,demand_draft_selling
2026-09-16,14:55:50,16-09-2026,09:14:47 AM,United States Dollar,USD,94.29,94.29,93.95,93.76,null,97.22,97.22,97.8,97.7,97.56
2026-09-16,14:55:50,16-09-2026,09:14:47 AM,Euro,EUR,108.1,108.1,107.6,108.1,null,112.99,112.99,113.71,112.99,112.99
2026-09-16,14:55:50,16-09-2026,09:14:47 AM,Great Britain Pound,GBP,125.98,125.98,126.11,126.24,null,132.6,132.6,132.34,131.76,131.7
2026-09-16,14:55:50,16-09-2026,09:14:47 AM,Australian Dollar,AUD,66.68,66.68,65.9,66.55,null,70.7,70.7,70.7,70.05,70.06
2026-09-16,14:55:50,16-09-2026,09:14:47 AM,Canadian Dollar,CAD,67.01,67.01,66.39,67.05,null,70.71,70.71,71.23,70.57,70.57
2026-09-16,14:55:50,16-09-2026,09:14:47 AM,Singapore Dollar,SGD,73.96,73.96,73.02,73.62,null,76.64,76.64,77.55,76.94,77.06
2026-09-16,14:55:50,16-09-2026,09:14:47 AM,Japanese Yen,JPY,60.05,60.05,58.93,60.05,,63.58,63.58,64.5,62.68,
2026-09-16,14:55:50,16-09-2026,09:14:47 AM,U.A.E Dirham,AED,25.29,25.29,25.18,25.08,,26.92,26.92,27.02,27.11,
2026-09-16,14:55:50,16-09-2026,09:14:47 AM,Swiss Franc,CHF,114.28,114.28,114.1,114.22,,119.88,119.88,120.0,119.53,
2026-09-16,14:55:50,16-09-2026,09:14:47 AM,Saudi Riyal,SAR,24.77,24.77,24.6,24.68,,26.33,26.33,26.48,26.4,
2026-09-16,14:55:50,16-09-2026,09:14:47 AM,Qatari Riyal,QAR,25.5,25.5,23.19,,,27.3,27.3,28.34,,
2026-09-16,14:55:50,16-09-2026,09:14:47 AM,Swedish Kronor,SEK,9.47,9.47,,9.47,,10.2,10.2,,10.15,
2026-09-16,14:55:50,16-09-2026,09:14:47 AM,Danish Kroner,DKK,14.27,14.27,,,,15.29,15.29,,,
2026-09-16,14:55:50,16-09-2026,09:14:47 AM,Norwegian Kroner,NOK,9.87,9.87,,,,10.67,10.67,,,
2026-09-16,14:55:50,16-09-2026,09:14:47 AM,New Zealand Dollar,NZD,53.73,53.73,,53.09,,56.69,56.69,,57.02,
2026-09-16,14:55:50,16-09-2026,09:14:47 AM,Hong Kong Dollar,HKD,11.87,11.87,11.49,11.83,,12.58,12.58,12.96,12.61,
2026-09-16,14:55:50,16-09-2026,09:14:47 AM,Kuwaiti Dinar,KWD,298.12,298.12,284.07,,,324.91,324.91,330.85,,
2026-09-16,14:55:50,16-09-2026,09:14:47 AM,Thai Baht,THB,2.79,2.79,2.69,2.78,,2.97,2.97,3.07,2.97,
2026-09-16,14:55:50,16-09-2026,09:14:47 AM,South African Rand,ZAR,5.64,5.64,,5.64,,6.13,6.13,,6.16,
2026-09-16,14:55:50,16-09-2026,09:14:47 AM,Omani Riyal,OMR,241.91,241.91,,,,256.64,256.64,,,
2026-09-16,14:55:50,16-09-2026,09:14:47 AM,Korean Won,KRW,0.0669,0.0669,,,,0.0733,0.0733,,,
2026-09-16,14:55:50,16-09-2026,09:14:47 AM,Chinese Yuan,CNH,13.64,13.64,,,,14.93,14.93,,,
2026-09-16,14:55:50,16-09-2026,09:14:47 AM,Poland Zloty,PLN,24.52,24.52,,,,26.35,26.35,,,
2026-09-16,14:55:50,16-09-2026,09:14:47 AM,Bahraini Dinar,BHD,246.28,246.28,,,,262.35,262.35,,,
2026-09-16,14:55:50,16-09-2026,09:14:47 AM,Malaysian Ringgit,MYR,22.38,22.38,,,,24.54,24.54,,,
