fetch_date,fetch_time,page_date,page_time,currency_name,currency_code,tt_buying,bills_buying,currency_notes_buying,forex_card_buying,demand_draft_buying,tt_selling,bills_selling,currency_notes_selling,forex_card_selling,demand_draft_selling
2026-09-23,14:56:17,23-09-2026,09:14:07 AM,United States Dollar,USD,94.01,94.01,93.68,93.49,null,96.95,96.95,97.52,97.42,97.28
2026-09-23,14:56:17,23-09-2026,09:14:07 AM,Euro,EUR,106.75,106.75,106.26,106.75,null,111.59,111.59,112.3,111.59,111.59
2026-09-23,14:56:17,23-09-2026,09:14:07 AM,Great Britain Pound,GBP,124.13,124.13,124.26,124.39,null,130.66,130.66,130.4,129.83,129.77
2026-09-23,14:56:17,23-09-2026,09:14:07 AM,Australian Dollar,AUD,66.29,66.29,65.51,66.15,null,70.28,70.28,70.28,69.64,69.64
2026-09-23,14:56:17,23-09-2026,09:14:07 AM,Canadian Dollar,CAD,66.11,66.11,65.5,66.14,null,69.76,69.76,70.27,69.62,69.62
2026-09-23,14:56:17,23-09-2026,09:14:07 AM,Singapore Dollar,SGD,73.61,73.61,72.67,73.27,null,76.29,76.29,77.19,76.59,76.7
2026-09-23,14:56:17,23-09-2026,09:14:07 AM,Japanese Yen,JPY,59.0,59.0,57.91,59.0,,62.47,62.47,63.38,61.59,
2026-09-23,14:56:17,23-09-2026,09:14:07 AM,U.A.E Dirham,AED,25.22,25.22,25.11,25.01,,26.84,26.84,26.94,27.03,
2026-09-23,14:56:17,23-09-2026,09:14:07 AM,Swiss Franc,CHF,113.61,113.61,113.44,113.56,,119.19,119.19,119.31,118.84,
2026-09-23,14:56:17,23-09-2026,09:14:07 AM,Saudi Riyal,SAR,24.7,24.7,24.53,24.61,,26.25,26.25,26.41,26.33,
2026-09-23,14:56:17,23-09-2026,09:14:07 AM,Qatari Riyal,QAR,25.43,25.43,23.12,,,27.22,27.22,28.26,,
2026-09-23,14:56:17,23-09-2026,09:14:07 AM,Swedish Kronor,SEK,9.36,9.36,,9.36,,10.09,10.09,,10.05,
2026-09-23,14:56:17,23-09-2026,09:14:07 AM,Danish Kroner,DKK,14.09,14.09,,,,15.1,15.1,,,
2026-09-23,14:56:17,23-09-2026,09:14:07 AM,Norwegian Kroner,NOK,9.72,9.72,,,,10.51,10.51,,,
2026-09-23,14:56:17,23-09-2026,09:14:07 AM,New Zealand Dollar,NZD,53.24,53.24,,52.61,,56.18,56.18,,56.5,
2026-09-23,14:56:17,23-09-2026,09:14:07 AM,Hong Kong Dollar,HKD,11.83,11.83,11.46,11.8,,12.54,12.54,12.92,12.58,
2026-09-23,14:56:17,23-09-2026,09:14:07 AM,Kuwaiti Dinar,KWD,296.97,296.97,282.98,,,323.57,323.57,329.48,,
2026-09-23,14:56:17,23-09-2026,09:14:07 AM,Thai Baht,THB,2.79,2.79,2.69,2.78,,2.97,2.97,3.07,2.97,
2026-09-23,14:56:17,23-09-2026,09:14:07 AM,South African Rand,ZAR,5.64,5.64,,5.64,,6.13,6.13,,6.16,
2026-09-23,14:56:17,23-09-2026,09:14:07 AM,Omani Riyal,OMR,241.21,241.21,,,,255.91,255.91,,,
2026-09-23,14:56:17,23-09-2026,09:14:07 AM,Korean Won,KRW,0.0675,0.0675,,,,0.0739,0.0739,,,
2026-09-23,14:56:17,23-09-2026,09:14:07 AM,Chinese Yuan,CNH,13.61,13.61,,,,14.9,14.9,,,
2026-09-23,14:56:17,23-09-2026,09:14:07 AM,Poland Zloty,PLN,24.18,24.18,,,,25.98,25.98,,,
2026-09-23,14:56:17,23-09-2026,09:14:07 AM,Bahraini Dinar,BHD,245.7,245.7,,,,261.53,261.53,,,
2026-09-23,14:56:17,23-09-2026,09:14:07 AM,Malaysian Ringgit,MYR,22.4,22.4,,,,24.55,24.55,,,
